@relation 'Average absolute amplitude over 10 minute interval-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,1-weka.filters.unsupervised.attribute.Remove-V-R1,8,120,139,145'

@attribute Interval1 numeric
@attribute Interval8 numeric
@attribute Interval120 numeric
@attribute Interval139 numeric
@attribute class {0,1}

@data
0.00371,0.00617,0.00456,0.00379,0
0.00323,0.0036,0.00354,0.0103,0
0.00331,0.00283,0.00235,0.00418,0
0.01232,0.00306,0.00264,0.00276,0
0.00418,0.0115,0.00451,0.00495,1
0.00277,0.0029,0.00296,0.00297,1
0.00243,0.00236,0.00941,0.00271,1
0.00257,0.00261,0.00304,0.00269,1
0.00354,0.00845,0.00662,0.00288,1
0.00479,0.00391,0.0036,0.00373,1
0.00628,0.00409,0.00286,0.06244,0
0.00701,0.01454,0.0048,0.00681,1
0.00293,0.00749,0.00343,0.0028,1
0.0161,0.01018,0.00254,0.01278,0
0.02507,0.00307,0.00255,0.01341,0
0.00364,0.00397,0.00296,0.00329,1
0.00647,0.00544,0.0044,0.00558,1
0.00338,0.00494,0.00922,0.0034,1
0.00421,0.00398,0.00427,0.00375,1
0.01164,0.01275,0.00444,0.00481,1
0.00759,0.00279,0.00328,0.02212,0
0.00301,0.00264,0.0028,0.00275,0
0.00351,0.0028,0.00411,0.00357,1
0.00559,0.00295,0.00454,0.00287,1
0.00313,0.00304,0.00416,0.00321,1
0.0089,0.00307,0.00296,0.00289,0
0.0084,0.0028,0.00243,0.00411,0
0.0084,0.00247,0.00229,0.00254,1
0.00261,0.00251,0.00238,0.00234,1
0.00268,0.0025,0.00634,0.00411,1
0.00351,0.00246,0.0028,0.00879,0
0.00865,0.0057,0.00337,0.00848,0
0.00289,0.00235,0.00252,0.00228,1
0.00877,0.00913,0.01383,0.01442,1
0.00501,0.00446,0.00622,0.00486,1
