@relation 'Average absolute amplitude over 1 hour interval-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,1'

@attribute Interval1 numeric
@attribute Interval2 numeric
@attribute Interval3 numeric
@attribute Interval4 numeric
@attribute Interval5 numeric
@attribute Interval6 numeric
@attribute Interval7 numeric
@attribute Interval8 numeric
@attribute Interval9 numeric
@attribute Interval10 numeric
@attribute Interval11 numeric
@attribute Interval12 numeric
@attribute Interval13 numeric
@attribute Interval14 numeric
@attribute Interval15 numeric
@attribute Interval16 numeric
@attribute Interval17 numeric
@attribute Interval18 numeric
@attribute Interval19 numeric
@attribute Interval20 numeric
@attribute Interval21 numeric
@attribute Interval22 numeric
@attribute Interval23 numeric
@attribute Interval24 numeric
@attribute class {0,1}

@data
0.01279,0.00488,0.00409,0.00422,0.00398,0.00378,0.00399,0.00373,0.0041,0.00385,0.00417,0.00377,0.00371,0.00374,0.00387,0.00384,0.00326,0.0033,0.00356,0.00379,0.00411,0.0042,0.00378,0.004467,0
0.00894,0.01478,0.00488,0.00587,0.00326,0.00334,0.00426,0.00474,0.00458,0.00517,0.00376,0.00424,0.00477,0.00894,0.04404,?,?,?,?,0.00621,0.00394,0.00455,0.00605,0.01093,0
0.00294,0.00345,0.00257,0.00299,0.00245,0.00279,0.00407,0.00253,0.00248,0.00298,0.00301,0.00276,0.00264,0.00372,0.0032,0.00327,0.00302,0.00913,0.00732,0.00242,0.0025,0.00533,0.00239,0.003262,0
0.00339,0.00264,0.0045,0.00251,0.00259,0.00239,0.00259,0.00286,0.00273,0.00274,0.0026,0.00607,0.00462,0.00292,0.00307,0.00377,0.00269,0.00288,0.00287,0.00273,0.00249,0.00247,0.01056,0.018714,0
0.00522,0.00979,0.00454,0.005,0.00676,0.00587,0.00636,0.00505,0.00855,0.00667,0.00806,0.00688,0.00781,0.00551,0.00482,0.0051,0.00537,0.00657,0.00518,0.0046,0.00526,0.00737,0.0055,0.005064,1
0.00313,0.00287,0.00277,0.00265,0.00292,0.00326,0.00301,0.00353,0.00345,0.00399,0.00625,0.00698,0.0028,?,0.00292,0.00264,0.00252,0.00262,0.00288,0.00297,0.0091,0.00603,0.00373,0.003673,1
0.00237,0.00233,0.00227,0.00228,0.00233,0.00226,0.00226,0.00238,0.00233,0.0023,0.00251,0.00227,0.00228,0.00234,0.00233,?,0.00491,0.00381,0.00424,0.00367,0.00507,0.00355,0.00251,0.002414,1
0.00255,0.00256,0.0025,0.00252,0.00276,0.00268,0.00272,0.00261,0.00253,0.00315,0.00259,0.00252,0.00293,0.00294,0.00301,0.00286,0.00339,0.00263,0.007,0.00271,0.0087,0.00364,0.0064,0.00365,1
0.00465,0.00351,0.00482,0.00347,0.00334,0.00347,0.00359,0.00355,0.00361,0.00366,0.00358,0.00378,0.00362,?,?,?,?,?,?,0.00417,0.00544,0.0061,0.00388,0.005744,1
0.00474,0.00433,0.00559,0.00396,0.00375,0.00367,0.0039,0.00371,0.00641,0.00342,0.00532,?,?,0.00525,0.00395,0.00375,0.0037,0.00569,0.00494,0.00374,0.0052,0.00514,0.00516,0.005884,1
0.0058,0.00358,0.00471,0.00475,0.00429,0.00358,0.00341,0.00425,0.00466,0.00409,?,?,?,?,?,0.00319,0.00248,0.00283,0.00281,0.00268,0.00429,0.00259,0.02295,0.018115,0
0.00556,0.00646,0.0048,0.00769,0.0039,0.00373,0.00621,0.00536,0.00508,0.00637,?,?,?,?,?,?,?,0.00668,0.00638,0.00371,0.00525,0.00516,0.00814,0.003972,1
0.00894,0.00844,0.00585,0.00339,0.00471,0.00596,0.00279,0.00295,0.00383,0.00392,0.00734,0.00614,0.01237,?,0.00911,0.00357,0.00486,0.0082,0.00305,0.00283,0.00712,0.00796,0.00559,0.003458,1
0.0277,0.00822,0.00397,0.00272,0.00245,0.00276,0.00274,0.00292,0.00246,0.0031,0.00251,0.00548,?,?,?,?,?,?,?,0.00327,0.00293,0.00454,0.00693,0.01718,0
0.00999,0.003,0.00275,0.00288,0.00254,0.00246,0.0028,0.00264,0.00287,0.00296,0.00236,0.00304,0.00247,0.00236,0.00243,0.00236,0.00243,0.00243,0.00248,0.00305,0.00401,0.00716,0.01497,0.019528,0
0.00309,0.00282,0.00689,0.00373,0.00362,0.00362,0.00504,0.00368,0.00549,0.00446,0.00451,0.0043,0.00292,0.00297,0.00341,0.00388,0.00316,0.00256,0.00299,0.0061,0.00557,0.00826,0.01302,0.003591,1
0.00839,0.00494,0.01263,0.01147,0.02027,0.01143,0.00482,0.00861,0.01382,0.01081,0.00682,0.00889,0.0058,0.00585,0.00613,0.00769,0.00636,0.00557,0.0058,0.00462,0.00472,0.00482,0.00557,0.005315,1
0.01673,0.00768,0.004,0.00461,0.00342,0.00324,0.00341,0.00355,0.00314,0.00317,?,?,?,?,?,?,?,0.00465,0.00567,0.00545,0.02713,0.01237,0.01285,0.003734,1
0.00397,0.00401,0.00341,0.00353,0.00357,0.0037,0.00357,0.00364,0.00369,0.00377,0.00369,0.004,0.00381,?,0.0039,0.00324,0.00337,0.0055,0.00331,0.0044,0.0044,0.00379,0.00395,0.004378,1
0.01118,0.00796,0.00601,0.00848,0.00332,0.00308,0.00306,0.00482,0.00347,0.00408,0.00375,0.00341,0.00326,0.00335,0.00324,0.00325,0.00299,0.00301,0.00297,0.0032,0.00337,0.01172,0.00381,0.017623,1
0.00534,0.00377,0.0039,0.00298,0.00275,0.00281,0.00284,0.00296,0.00299,0.00321,0.0051,0.05753,?,?,?,?,0.00281,0.00347,0.00321,0.00307,0.0038,0.00413,0.00817,0.025168,0
