@relation 'Frequency (Hz) vs Intensity (dB)'

@attribute Frequency numeric
@attribute Intensity numeric

@data
1046.15385, 1.66058
1169.23077, 0.97717
923.07692, 0.36830
984.61538, 0.41195
984.61538, 0.21739
1046.15385, 0.18501
1353.84615, 0.26433
1046.15385, 0.19780
492.30769, 0.14156
1046.15385, 0.15339
1107.69231, 0.18153
1107.69231, 0.32459
1353.84615, 0.26082
800.00000, 0.11041
61.53846, 0.12830
492.30769, 0.35928
61.53846, 0.11999
984.61538, 0.10830
1230.76923, 0.18698
492.30769, 0.19255
800.00000, 0.11666
1169.23077, 0.12984
1353.84615, 0.13059
1292.30769, 0.12530
492.30769, 0.17011
61.53846, 0.12762
61.53846, 0.10613
61.53846, 0.12341
61.53846, 0.13918
1230.76923, 0.15738
246.15385, 0.11115
1230.76923, 0.13559
61.53846, 0.12861
430.76923, 0.11690
246.15385, 0.11988
307.69231, 0.12326
61.53846, 0.11388
61.53846, 0.11829
1907.69231, 0.11101
184.61538, 0.11425
61.53846, 0.12265
369.23077, 0.29752
307.69231, 0.34948
369.23077, 0.17655
4000.00000, 0.12841
61.53846, 0.13254
307.69231, 0.12922
307.69231, 0.12250
246.15385, 0.11456
492.30769, 0.13940
61.53846, 0.12755
492.30769, 0.85031
492.30769, 0.81479
61.53846, 0.12940
246.15385, 0.11510
61.53846, 0.12691
492.30769, 0.15485
492.30769, 0.23558
1415.38462, 0.18180
1169.23077, 0.17504
184.61538, 0.11495
984.61538, 0.17416
246.15385, 0.12641
184.61538, 0.11428
307.69231, 0.16724
3138.46154, 0.10962
1353.84615, 0.10695
246.15385, 0.10500
492.30769, 0.10911
492.30769, 0.11289
61.53846, 0.15983
492.30769, 0.17972
492.30769, 0.21582
492.30769, 0.54679
1907.69231, 2.12995
430.76923, 19.64642
738.46154, 1.67857
307.69231, 3.06906
553.84615, 0.29741
1415.38462, 0.19203
430.76923, 0.34198
307.69231, 1.77011
307.69231, 13.34175
492.30769, 10.82596
430.76923, 1.38980
430.76923, 1.52248
430.76923, 11.06946
492.30769, 0.73963
492.30769, 0.43763
430.76923, 0.35557
369.23077, 0.18252
492.30769, 0.13559
246.15385, 0.11601
800.00000, 0.12310
369.23077, 0.11792
1107.69231, 0.10821
492.30769, 0.12782
61.53846, 0.10799
123.07692, 0.12258
61.53846, 0.13613
184.61538, 0.13706
430.76923, 0.10956
1230.76923, 0.10595
1784.61538, 0.11460
492.30769, 0.13551
676.92308, 0.14182
1723.07692, 0.11989
553.84615, 0.11718
246.15385, 0.10493
61.53846, 0.12714
61.53846, 0.11833
61.53846, 0.11953
492.30769, 0.11028
553.84615, 0.13517
61.53846, 0.10980
61.53846, 0.11481
369.23077, 0.20400
61.53846, 0.13774
4000.00000, 0.11162
61.53846, 0.10901
492.30769, 0.11576
492.30769, 0.16504
492.30769, 0.11190
1353.84615, 0.10834
430.76923, 0.11164
984.61538, 0.21710
184.61538, 0.11193
738.46154, 0.10611
1230.76923, 0.11958
61.53846, 0.14096
123.07692, 0.11371
61.53846, 0.11301
492.30769, 0.11971
246.15385, 0.12121
61.53846, 0.14422
615.38462, 0.12626
61.53846, 0.12256
369.23077, 0.10601
61.53846, 0.12835
61.53846, 0.14404
615.38462, 0.10755
430.76923, 0.11862
246.15385, 0.12763
984.61538, 0.11528
1230.76923, 0.10638
861.53846, 0.11405
61.53846, 0.11841
369.23077, 0.11729
2092.30769, 0.11105
61.53846, 0.12520
61.53846, 0.11271
123.07692, 0.10915
61.53846, 0.16870
184.61538, 0.13235
61.53846, 0.11282
184.61538, 0.12206
2461.53846, 0.13978
61.53846, 0.13431
184.61538, 0.11139
430.76923, 0.13030
2461.53846, 0.12025
2400.00000, 0.20700
2153.84615, 0.18248
